* Freq(Hz), SPL(dB), Phase(degrees)
299.381, -4.698, 9.027
299.747, -4.696, 9.022
300.113, -4.695, 9.017
300.479, -4.694, 9.011
300.846, -4.693, 9.007
301.212, -4.692, 9.004
301.578, -4.691, 9.002
301.944, -4.689, 9.000
302.311, -4.688, 8.997
302.677, -4.687, 8.993
303.043, -4.686, 8.989
303.409, -4.684, 8.986
303.775, -4.683, 8.983
304.142, -4.682, 8.980
304.508, -4.681, 8.977
304.874, -4.679, 8.974
305.240, -4.678, 8.970
305.607, -4.677, 8.967
305.973, -4.676, 8.964
306.339, -4.674, 8.961
306.705, -4.673, 8.958
307.071, -4.672, 8.955
307.438, -4.671, 8.951
307.804, -4.669, 8.948
308.170, -4.668, 8.945
308.536, -4.667, 8.941
308.902, -4.666, 8.938
309.269, -4.665, 8.935
309.635, -4.663, 8.932
310.001, -4.662, 8.929
310.367, -4.661, 8.925
310.734, -4.660, 8.922
311.100, -4.659, 8.919
311.466, -4.657, 8.916
311.832, -4.656, 8.912
312.198, -4.655, 8.909
312.565, -4.654, 8.906
312.931, -4.653, 8.902
313.297, -4.651, 8.899
313.663, -4.650, 8.896
314.029, -4.649, 8.893
314.396, -4.648, 8.889
314.762, -4.647, 8.886
315.128, -4.646, 8.883
315.494, -4.644, 8.880
315.861, -4.643, 8.876
316.227, -4.642, 8.873
316.593, -4.641, 8.870
316.959, -4.640, 8.867
317.325, -4.639, 8.863
317.692, -4.637, 8.860
318.058, -4.636, 8.857
318.424, -4.635, 8.854
318.790, -4.634, 8.851
319.156, -4.633, 8.847
319.523, -4.632, 8.844
319.889, -4.630, 8.841
320.255, -4.629, 8.837
320.621, -4.628, 8.834
320.988, -4.627, 8.831
321.354, -4.626, 8.828
321.720, -4.625, 8.824
322.086, -4.624, 8.821
322.452, -4.623, 8.818
322.819, -4.622, 8.815
323.185, -4.620, 8.812
323.551, -4.619, 8.808
323.917, -4.618, 8.805
324.283, -4.617, 8.802
324.650, -4.616, 8.799
325.016, -4.615, 8.795
325.382, -4.614, 8.792
325.748, -4.613, 8.789
326.115, -4.612, 8.786
326.481, -4.610, 8.782
326.847, -4.609, 8.779
327.213, -4.608, 8.776
327.579, -4.607, 8.773
327.946, -4.606, 8.769
328.312, -4.605, 8.766
328.678, -4.604, 8.763
329.044, -4.603, 8.760
329.410, -4.602, 8.757
329.777, -4.601, 8.754
330.143, -4.600, 8.750
330.509, -4.599, 8.747
330.875, -4.597, 8.744
331.242, -4.596, 8.740
331.608, -4.595, 8.737
331.974, -4.594, 8.734
332.340, -4.593, 8.731
332.706, -4.592, 8.728
333.073, -4.591, 8.724
333.439, -4.590, 8.721
333.805, -4.589, 8.718
334.171, -4.588, 8.714
334.538, -4.587, 8.711
334.904, -4.586, 8.708
335.270, -4.585, 8.705
335.636, -4.584, 8.702
336.002, -4.583, 8.698
336.369, -4.582, 8.695
336.735, -4.581, 8.692
337.101, -4.580, 8.689
337.467, -4.579, 8.685
337.833, -4.578, 8.682
338.200, -4.577, 8.679
338.566, -4.576, 8.676
338.932, -4.575, 8.673
339.298, -4.574, 8.670
339.665, -4.573, 8.666
340.031, -4.572, 8.663
340.397, -4.571, 8.660
340.763, -4.570, 8.657
341.129, -4.569, 8.654
341.496, -4.568, 8.651
341.862, -4.567, 8.647
342.228, -4.566, 8.644
342.594, -4.565, 8.641
342.960, -4.564, 8.638
343.327, -4.563, 8.635
343.693, -4.562, 8.632
344.059, -4.561, 8.628
344.425, -4.560, 8.625
344.792, -4.559, 8.622
345.158, -4.558, 8.619
345.524, -4.557, 8.615
345.890, -4.556, 8.612
346.256, -4.555, 8.609
346.623, -4.554, 8.606
346.989, -4.553, 8.603
347.355, -4.552, 8.600
347.721, -4.551, 8.597
348.087, -4.550, 8.593
348.454, -4.549, 8.590
348.820, -4.548, 8.587
349.186, -4.547, 8.584
349.552, -4.546, 8.581
349.919, -4.545, 8.578
350.285, -4.544, 8.575
350.651, -4.543, 8.572
351.017, -4.542, 8.568
351.383, -4.541, 8.565
351.750, -4.540, 8.562
352.116, -4.540, 8.559
352.482, -4.539, 8.556
352.848, -4.538, 8.553
353.214, -4.537, 8.550
353.581, -4.536, 8.546
353.947, -4.535, 8.543
354.313, -4.534, 8.540
354.679, -4.533, 8.537
355.046, -4.532, 8.534
355.412, -4.531, 8.531
355.778, -4.530, 8.528
356.144, -4.529, 8.525
356.510, -4.528, 8.522
356.877, -4.527, 8.518
357.243, -4.527, 8.515
357.609, -4.526, 8.512
357.975, -4.525, 8.509
358.341, -4.524, 8.506
358.708, -4.523, 8.503
359.074, -4.522, 8.500
359.440, -4.521, 8.497
359.806, -4.520, 8.495
360.173, -4.519, 8.491
360.539, -4.518, 8.488
360.905, -4.517, 8.484
361.271, -4.517, 8.481
361.637, -4.516, 8.478
362.004, -4.515, 8.475
362.370, -4.514, 8.472
362.736, -4.513, 8.469
363.102, -4.512, 8.466
363.469, -4.511, 8.462
363.835, -4.510, 8.459
